HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"ct.pinterest.com"	dsign-in	107304	419.898	33.136
"adservice.google.com"	dsign-in	105926	441.759	4559.168
"s.thebrighttag.com"	search results	105825	127.845	19.958
"d3t1dw6evd1rv7.cloudfront.net"	wishlist	105579	236.844	2.781
"ad.doubleclick.net"	dsign-in	105178	563.187	6427.435
"koh-cdns.truefitcorp.com"	Product Detail Page	105074	357.128	276.351
"www.bkrtx.com"	dsign-in	102418	171.423	25.516
"js-sec.indexww.com"	dsign-in	102021	131.718	28.301
"googleads.g.doubleclick.net"	dsign-in	101910	317.087	458.382
"content"	homepage	101739	740.126	2612.479
"s.btstatic.com"	purchase-history	101655	21.620	6.913
"www.facebook.com"	search	101611	298.947	67.676
"www.googletagservices.com"	store locator	100261	282.144	4924.673
"s.btstatic.com"	checkoutshipping	99858	381.334	35.988
"adservice.google.com"	store locator	98994	209.764	4039.879
"device.4seeresults.com"	product matrix	98890	1003.284	0.000
"nova.collect.igodigital.com"	search	98170	504.018	57.268
"6249496.collect.igodigital.com"	product matrix	97218	237.477	51.228
"iad-usadmm.dotomi.com"	Product Detail Page	97104	492.147	29.647
"b.hlserve.com"	sale event landing	97103	404.288	38.319
"s-usweb.dotomi.com"	Product Detail Page	96925	250.743	20.860
"dservice.google.com"	product matrix	96805	315.375	6776.687
"ing-district.clicktale.net"	myaccount	96729	266.085	0.000
"pi.bazaarvoice.com"	Product Detail Page	96540	822.114	71.117
"s.btstatic.com"	checkout	94593	259.127	0.000
"us-u.openx.net"	search	94255	698.143	2436.412
"s.yimg.com"	Product Detail Page	93041	237.347	50.019
"www.google.com"	shoppingBag	91747	257.873	5886.043
"tic.curations.bazaarvoice.com"	Product Detail Page	91266	508.307	2.015
"stags.bluekai.com"	dsign-in	91127	572.544	274.126
"s.yimg.com"	product matrix	90512	181.469	60.218
"sc-static.net"	product matrix	89991	283.083	110.649
"media.richrelevance.com"	Product Detail Page	87092	319.714	41.245
"cdns.brsrvr.com"	NULL	86553	421.834	14.746
"sc-static.net"	Product Detail Page	86446	305.131	90.405
"connect.facebook.net"	search	86163	154.193	55.781
"nova.collect.igodigital.com"	directCheckout	86048	387.902	2.468
"api"	homepage	84977	773.271	4890.732
"cdns.brsrvr.com"	store locator	84793	130.754	18.990
"d2p4r375zfkzm8.cloudfront.net"	NULL	84790	372.484	16.474
"dnisjsqid2b9p.cloudfront.net"	sale event landing	84472	231.369	42.182
"sp.analytics.yahoo.com"	product matrix	84025	551.119	68.930
"d3t1dw6evd1rv7.cloudfront.net"	wedding-registry	83784	306.613	24.968
"rp.liadm.com"	product matrix	83746	680.503	66.338
"6249496.collect.igodigital.com"	Product Detail Page	83679	224.772	50.223
"d3t1dw6evd1rv7.cloudfront.net"	homepage	82567	292.021	5.701
"ing-district.clicktale.net"	directCheckout	81395	304.417	0.000
"stags.bluekai.com"	Product Detail Page	79218	894.092	1630.202
"www.bkrtx.com"	Product Detail Page	78868	448.989	49.831
"s0.2mdn.net"	Product Detail Page	78347	402.244	3295.927
"stags.bluekai.com"	product matrix	78157	743.270	615.240
"www.bkrtx.com"	product matrix	78007	416.138	52.588
"ds-aksb-a.akamaihd.net"	search	77763	234.887	1450.305
"servedby.flashtalking.com"	Product Detail Page	77389	577.790	25.031
"social.skavaone.com"	Product Detail Page	76952	3.132	0.000
"sp.analytics.yahoo.com"	Product Detail Page	76119	681.580	58.067
"nym1-ib.adnxs.com"	Product Detail Page	75272	594.607	710.499
"cm.everesttech.net"	Product Detail Page	74731	453.285	27.628
"ds-aksb-a.akamaihd.net"	homepage	74716	375.189	2729.288
"norelco-o-20180531-LG-promo"	Product Detail Page	74569	306.277	5.124
"s.btstatic.com"	myaccount_orderDetail	74434	18.626	5.798
